system,q_main_std_across_runs,q_main_range_across_runs,s_det_std_across_runs,s_asst_std_across_runs,mean_question_score_std,high_variance_question_share
S1,0.0,0.0,0.0,0.0,0.0,0.0
S2+R,0.013713353555858277,0.026656089287668272,0.015026033074908308,0.0177646236673731,0.030115717382386963,0.06
S3+R,0.022922686360498292,0.041995841995842054,0.015604061329449378,0.06217618283580586,0.03142067476544956,0.06
S7,0.03445996255463131,0.0672672672672674,0.048148113271257065,0.0177646236673731,0.07828445411401294,0.16
S2,0.0046153846153846045,0.009230769230769209,0.0,0.015384615384615385,0.0069282032302755096,0.0
S3,0.0026646935501059587,0.0046153846153846045,0.0,0.00888231183368655,0.01323760430703401,0.0
