,S1,S2+R,S3+R,S7,S2,S3
S1,1.0,0.6296296296296297,0.72,0.6296296296296297,0.5121951219512195,0.45652173913043476
S2+R,0.6296296296296297,1.0,0.6538461538461539,1.0,0.5121951219512195,0.4888888888888889
S3+R,0.72,0.6538461538461539,1.0,0.6538461538461539,0.4878048780487805,0.43478260869565216
S7,0.6296296296296297,1.0,0.6538461538461539,1.0,0.5121951219512195,0.4888888888888889
S2,0.5121951219512195,0.5121951219512195,0.4878048780487805,0.5121951219512195,1.0,0.7708333333333334
S3,0.45652173913043476,0.4888888888888889,0.43478260869565216,0.4888888888888889,0.7708333333333334,1.0
