doc_name,doc_id,filename,page_count,approx_chars,approx_tokens,fits_d2l
doc1_general_partnership_law,302a0bd8d67775e8dc5960ecec7879be566300d8b32c4b0153ba15ebdb279425,doc1_general_partnership_law.pdf,23,53073,13268,True
doc2_crs_regulations,04be93255ec4b88e6e6c65c8e9335e10729723c2637452f3ad66d5b3dbe87513,doc2_crs_regulations.pdf,26,89439,22359,True
doc3_techteryx_v_aria,3f8a5ea0e051ba3af7a02da340c911fe0970ebece6c852c3e61a10c00cac6d6e,doc3_techteryx_v_aria.pdf,25,69780,17445,True
doc4_bond_v_tr88house,ad76dc7093851d116c8878802b815608adceed54f6b5195ae04ffec28ae25d32,doc4_bond_v_tr88house.pdf,23,59801,14950,True
doc5_personal_property_law,536bbce854b9406cc22697e04fcdabd645e030c0e55b918252643b00e0b2b25f,doc5_personal_property_law.pdf,21,52014,13003,True
doc6_securities_regulations,3fa59589a91bf4913703ba0eedd08faa128948285b8a9d085bd7422248abe6c5,doc6_securities_regulations.pdf,24,45278,11319,True
doc7_ozias_v_obadiah,5d3df6d69fac3ef91e13ac835b43a35e9e434fbc7e72ea5c01e288d69b66e6a2,doc7_ozias_v_obadiah.pdf,19,52130,13032,True
doc8_lxt_v_sir_realestate,437568a801115019fe8278385c0484bdf07ab86f9a499ecaba2b7969b37c764b,doc8_lxt_v_sir_realestate.pdf,15,38635,9658,True
