doc_id,filename,page_count,approx_token_count
5d3df6d69fac3ef91e13ac835b43a35e9e434fbc7e72ea5c01e288d69b66e6a2,5d3df6d69fac3ef91e13ac835b43a35e9e434fbc7e72ea5c01e288d69b66e6a2.pdf,19,15200
5f2e0f8fe61acf2975a8b3a1a4f51ff3fe01961d220da1ec068cab0f398d6177,5f2e0f8fe61acf2975a8b3a1a4f51ff3fe01961d220da1ec068cab0f398d6177.pdf,8,6400
6248961b681ea0deb189f354be0c8286f35974dcdb211c13c921c3dd0e566a6e,6248961b681ea0deb189f354be0c8286f35974dcdb211c13c921c3dd0e566a6e.pdf,7,5600
62930da32fa3172edf2f2bbf3da268455bd99a7b5fab34d72358730d8cd5da30,62930da32fa3172edf2f2bbf3da268455bd99a7b5fab34d72358730d8cd5da30.pdf,4,3200
6306079a16b1dec85690f75c715cdbd78b0685a3e19ee30250d481bc32f2e29a,6306079a16b1dec85690f75c715cdbd78b0685a3e19ee30250d481bc32f2e29a.pdf,6,4800
65f3f4acfcaca7fc9488e275643135ea7e1d30323e4f4c2cc04d7fc16844e373,65f3f4acfcaca7fc9488e275643135ea7e1d30323e4f4c2cc04d7fc16844e373.pdf,3,2400
6aa239fca4bc0ec592bbbc83f8e342684ffe4aff1b3da65429633fc35e478802,6aa239fca4bc0ec592bbbc83f8e342684ffe4aff1b3da65429633fc35e478802.pdf,54,43200
709720c8dbdec5b25dee24c384f0cae7d2b94e3704c44f57c5a98ddf87b94f54,709720c8dbdec5b25dee24c384f0cae7d2b94e3704c44f57c5a98ddf87b94f54.pdf,27,21600
72ea171147bf30326fe6fd2e6798f607c7cef4bf9d43761dbccd2f1b6a356849,72ea171147bf30326fe6fd2e6798f607c7cef4bf9d43761dbccd2f1b6a356849.pdf,43,34400
7762b20eeb3ca0cb3dd62a4b079bf01d6b5e7f8707d7be77ad9c6ff1e230aabe,7762b20eeb3ca0cb3dd62a4b079bf01d6b5e7f8707d7be77ad9c6ff1e230aabe.pdf,65,52000
