system,single_doc_n,single_doc_q_main,single_doc_std,multi_doc_n,multi_doc_q_main,multi_doc_std,delta_multi_minus_single
S1,41,0.7117,0.0000,9,0.2787,0.0000,-0.4330
S2+R,41,0.7098,0.0066,9,0.3846,0.0159,-0.3252
S3+R,41,0.7380,0.0261,9,0.2787,0.0000,-0.4593
S7,41,0.7347,0.0223,9,0.4629,0.0889,-0.2718
S2,41,0.2456,0.0058,9,0.3025,0.0346,0.0569
S3,41,0.2090,0.0029,9,0.1200,0.0000,-0.0890
S3-legacy,41,0.2307,0.0000,9,0.1800,0.0000,-0.0507
