system,class,q_main,q_main_std,s_det,s_det_std,s_asst,s_asst_std,g,g_std,ttft_median_ms,ttft_median_std,ttft_p95_ms,ttft_p95_std,latency_median_ms,latency_median_std,latency_p95_ms,latency_p95_std,peak_infer_vram_mb,peak_infer_vram_std,peak_train_vram_mb,peak_train_vram_std,offline_cost_seconds,offline_cost_std,malformed_rate,malformed_rate_std
S1,Headline,0.6425,0.0000,0.6014,0.0000,0.7385,0.0000,0.5667,0.0000,334.8471,0.0000,749.7689,0.0000,479.2932,0.0000,2088.9970,0.0000,5200.4937,0.0000,N/A,N/A,0.0000,0.0000,0.0200,0.0000
S2+R,Headline,0.6689,0.0137,0.6479,0.0150,0.7179,0.0178,0.5667,0.0000,318.5066,0.2187,916.6299,37.1300,491.9765,1.9641,1966.2500,84.3569,3069.2733,4.6915,6827.8999,0.0000,1205.5399,29.6731,0.0000,0.0000
S3+R,Headline,0.6671,0.0229,0.5991,0.0156,0.8256,0.0622,0.5667,0.0000,315.8223,0.8010,868.9404,18.0591,525.2557,17.5787,2868.8867,60.6562,3069.2733,4.6915,6327.7227,0.0000,581.4330,0.7233,0.0000,0.0000
S7,Post-hoc,0.7045,0.0345,0.6790,0.0481,0.7641,0.0178,0.5667,0.0000,334.5421,1.1670,1089.3615,51.7537,527.2143,18.9843,1948.9425,150.9116,3069.2733,4.6915,N/A,N/A,0.0000,0.0000,0.0000,0.0000
S2,Control,0.2630,0.0046,0.2703,0.0000,0.2462,0.0154,N/A,N/A,50.8310,0.2583,503.7922,161.8645,257.1448,33.6513,1223.4983,70.0831,3066.5649,9.3825,4724.7393,0.0000,87.8568,1.0400,0.0000,0.0000
S3,Control,0.1854,0.0027,0.1351,0.0000,0.3026,0.0089,N/A,N/A,57.8192,0.3833,99.7738,5.8931,195.1968,1.8435,2349.5000,27.1854,3077.3986,4.6910,6327.7227,0.0000,581.4330,0.7233,0.2000,0.0000
